Order	City	Node ID	Coordinate X	Coordinate Y	Duration (min)	Profit (eur)	Student 1	Student 2	Student 3	Student 4	Student 5	Student 6	Student 7	Student 8	Student 9	Student 10	Student 11	Student 12	Student 13	Student 14	Student 15	Student 16	Student 17	Student 18	Student 19	Student 20
361	MAARHEEZE	287	56343016	513026712	9	25	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1
363	MAARHEEZE	287	56343016	513026712	10	10	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0
395	DEURNE	898	57941581	514634589	10	15	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1
406	MAARHEEZE	485	56295706	513089704	5	9	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0
449	MIERLO	593	56140044	514447748	12	13	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1
508	SOMEREN	950	57323944	513627076	8	14	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1
526	MIERLO	643	56219321	514462867	11	21	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
537	MIERLO	598	56187409	514433911	11	35	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0
538	MIERLO	650	56219321	514462867	10	14	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1
550	MIERLO	637	56272245	514467972	11	16	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0
552	MIERLO	590	55947110	514550359	13	7	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0
557	MIERLO	628	56197042	514286099	10	29	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0
562	MIERLO	597	56147283	514439285	5	11	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0
571	MIERLO	623	56351177	514455805	8	22	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0
572	MIERLO	638	56271262	514474815	12	13	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0
573	MIERLO	599	56187409	514433911	12	14	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0
574	MIERLO	624	56351177	514455805	11	15	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1
576	BUDEL	294	55981709	512615673	8	17	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
577	DEURNE	843	58658644	514501963	6	15	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1
584	MIERLO	588	56187013	514445825	6	18	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1
597	BEEK EN DONK	60	56326501	515319829	7	20	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1
603	MAARHEEZE	251	56151535	513098100	13	16	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0
620	MIERLO	674	56133879	514480476	11	20	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1
622	MIERLO	608	56192566	514423267	13	32	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1
624	MIERLO	629	56150376	514327300	6	10	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1
642	SOMEREN	1024	57352176	513585476	9	9	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1
644	BEEK EN DONK	127	56319026	515363392	10	6	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1
651	MILHEEZE	158	57836215	515032568	9	14	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0
658	AARLE RIXTEL	117	56691043	515118330	10	21	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0
661	SOMEREN	1042	56930882	513289704	7	15	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1
688	OMMEL	716	57488072	514220889	9	24	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
696	BEEK EN DONK	70	56331410	515291395	6	23	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0
697	ASTEN	751	57416531	514012213	7	19	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1
701	SOMEREN	945	57320803	513631968	6	10	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0
730	STERKSEL	29	56001337	513562615	9	26	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0
733	SOMEREN	971	57102446	513785262	6	13	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0
747	SOMEREN-HEIDE	1015	57316328	513547496	7	6	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0
751	ASTEN	707	57546194	514077444	10	29	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0
753	NEERKANT	864	58610404	513688285	7	10	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1
766	HEUSDEN GEM ASTEN	774	57824854	513822443	6	7	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1
767	MIERLO	635	56062690	514408981	8	5	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
768	MIERLO	617	56202748	514439436	6	19	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0
778	OMMEL	811	57458599	514208635	10	20	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0
783	LIEROP	1064	56820350	514199931	12	37	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0
785	ASTEN	743	57432906	514099962	9	14	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0
789	HEUSDEN GEM ASTEN	690	57698117	513595234	12	13	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0
795	MAARHEEZE	212	56154741	513129984	6	7	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1
804	ASTEN	729	57360738	514018771	10	15	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
808	SOMEREN-HEIDE	965	56736812	513777906	10	19	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0
809	LIESHOUT	8	55941205	515166210	5	5	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0
810	LIESHOUT	15	55962628	515198859	8	21	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	0
811	SOMEREN-EIND	1014	57323532	513538390	12	32	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
812	SOMEREN	993	57352532	513642479	7	25	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
817	SOMEREN	951	57320803	513631968	9	19	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0
820	SOERENDONK	453	55726766	513027766	9	28	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0
835	SOMEREN	942	57242980	513743425	12	25	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1
836	ASTEN	687	57591994	513962233	5	6	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0
839	SOMEREN-HEIDE	1092	56966464	513542213	8	13	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1
843	LIESHOUT	10	55890671	515205347	9	6	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1
844	SOMEREN	975	56943819	513817712	11	23	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1
846	AARLE RIXTEL	78	56397413	515102050	7	13	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1
850	SOMEREN-HEIDE	966	56736812	513777906	9	8	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1
851	ASTEN	700	57472886	514036004	6	7	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0
853	ASTEN	762	57317188	514112196	6	12	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1
859	HEUSDEN GEM ASTEN	802	57750369	513761017	8	18	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1
865	MARIAHOUT	3	55729329	515394533	9	11	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0
868	HEUSDEN GEM ASTEN	805	57645403	513801572	9	19	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0
875	STERKSEL	33	56193728	513348656	5	9	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1
880	SOMEREN-EIND	1008	57317211	513548187	7	9	0	1	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1
881	SOMEREN-HEIDE	997	56692565	513607324	9	28	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0
882	OMMEL	686	57488072	514220889	10	23	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0
883	HEUSDEN GEM ASTEN	689	57709165	513611608	12	6	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0
885	HEUSDEN GEM ASTEN	806	58409136	513749952	12	33	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1
887	STERKSEL	155	56221061	513594386	10	17	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1
890	AARLE RIXTEL	54	56563108	515187368	6	12	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0
891	ASTEN	764	57448400	514090850	10	32	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0
892	MAARHEEZE	178	56111208	513103227	10	24	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1
895	BUDEL	342	55766409	512735769	8	16	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0
898	BUDEL-SCHOOT	443	55661065	512503377	10	5	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1
907	STERKSEL	38	56394985	513547304	11	28	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0
908	STERKSEL	37	56381569	513544292	10	33	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0
909	STERKSEL	40	56432534	513604892	12	19	0	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0
919	SOMEREN-HEIDE	1073	56726521	513195250	6	21	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1
927	AARLE RIXTEL	116	56691043	515118330	11	25	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0
930	SOMEREN	976	56863509	513762813	12	31	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0
932	DE RIPS	121	58130295	515474194	7	17	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1
933	ASTEN	699	57473523	514036037	8	28	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0
934	SOMEREN-HEIDE	969	56741912	513762062	11	15	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0
935	SOMEREN-EIND	1096	57377870	513534580	6	9	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1
936	SOMEREN-HEIDE	1047	56777825	513586629	9	18	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1
940	BEEK EN DONK	90	56256449	515387917	9	16	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1
941	BEEK EN DONK	136	56325761	515293257	6	17	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0
942	BEEK EN DONK	135	56318438	515293912	10	27	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0
943	BEEK EN DONK	95	56350702	515440165	7	5	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0
944	BEEK EN DONK	68	56271368	515369191	11	8	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1
945	LIESHOUT	16	55929608	515239562	8	14	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1
946	LIESHOUT	25	55980011	515324939	12	23	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0
947	AARLE RIXTEL	50	56809310	515262140	5	6	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1
948	AARLE RIXTEL	103	56427485	515078144	12	36	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1
949	AARLE RIXTEL	104	56487676	515117193	11	20	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0
950	AARLE RIXTEL	103	56427485	515078144	9	19	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1
951	BEEK EN DONK	67	56300423	515381939	9	20	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1
952	BEEK EN DONK	69	56273584	515359112	6	6	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1
956	SOMEREN	993	57352532	513642479	6	18	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0
958	AARLE RIXTEL	56	56563108	515187368	6	9	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0
959	AARLE RIXTEL	57	56563108	515187368	7	26	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1
960	SOMEREN-EIND	1011	57329947	513578761	6	22	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0
962	BEEK EN DONK	137	56325761	515293257	5	19	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0
964	BEEK EN DONK	128	56306912	515374796	7	19	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0
969	STERKSEL	41	56432534	513604892	11	38	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0
972	SOMEREN	1040	56930882	513289704	11	8	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0
981	BEEK EN DONK	96	56334409	515445511	7	6	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0
984	AARLE RIXTEL	76	56397413	515102050	8	8	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1
993	BEEK EN DONK	94	56360933	515468878	11	26	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0
996	SOMEREN	1053	57066368	513235225	8	13	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1
997	LIEROP	961	56823366	514213568	9	19	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
1000	MIERLO	625	56351177	514455805	8	8	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1
1005	BEEK EN DONK	65	56297612	515382092	10	6	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0
1007	LIEROP	955	56713946	514345205	7	18	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1
1008	AARLE RIXTEL	115	56691043	515118330	13	32	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0
1010	LIESHOUT	18	55692602	515100040	10	33	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0
1012	SOMEREN	988	57070533	513678728	9	17	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1
1013	SOMEREN-EIND	1098	57389864	513536923	8	18	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0
1015	SOMEREN-HEIDE	1058	56768255	513526373	10	26	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1
1017	MIERLO	659	56288107	514375625	10	24	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1
1018	ASTEN	824	57833454	513897327	7	14	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0
1040	SOMEREN	1020	56983989	513514649	12	22	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0
1041	OMMEL	685	57480299	514222111	12	38	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1
1043	SOMEREN	933	57379364	513595172	5	7	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0
1063	LIEROP	1077	56841617	514434283	6	17	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0
1064	SOMEREN	1056	56768255	513526373	9	29	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1
1065	SOMEREN-HEIDE	1057	56851246	513513141	11	10	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
1066	ASTEN	836	57466578	514090872	12	23	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1
1067	MIERLO	657	56250197	514369591	7	14	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0
1068	OMMEL	717	57486473	514227742	12	27	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1
1069	SOMEREN	982	56775433	513837956	10	17	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1
1083	ASTEN	778	57521871	514071708	11	23	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1
1084	HEUSDEN GEM ASTEN	772	57646927	513825233	13	31	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
1085	SOMEREN	982	56775433	513837956	10	7	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1
1139	AARLE RIXTEL	110	56308261	515093428	10	21	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1
1155	MIERLO	634	56203440	514380486	6	15	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0
1174	LIEROP	963	56826502	514286557	8	21	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1
1178	NEERKANT	930	58661073	513550860	11	22	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0
1179	ASTEN	808	58541393	513760159	7	6	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0
1181	BUDEL	438	55820280	512849789	8	27	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1
1184	LIESHOUT	17	55653276	515178842	8	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0
1188	SOMEREN	1033	56935947	513313115	5	6	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1
1189	VLIERDEN	922	57584735	514441587	11	10	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0
1200	BEEK EN DONK	91	56366258	515459565	7	7	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0
1211	ASTEN	698	57474160	514036070	7	7	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0
1212	MAARHEEZE	482	56295706	513089704	11	19	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1
1213	LIEROP	960	56807137	514214915	10	15	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0
1221	SOMEREN	990	57146383	513659560	7	16	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1
1223	SOMEREN	973	56910357	513794837	8	23	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0
1228	LIESSEL	890	58308238	514111387	6	20	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1
1230	HEUSDEN GEM ASTEN	795	58001579	513715585	13	7	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0
1241	HEUSDEN GEM ASTEN	799	57750369	513761017	10	31	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0
1246	HEUSDEN GEM ASTEN	770	57641411	513836848	10	22	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0
1247	HEUSDEN GEM ASTEN	770	57641411	513836848	6	12	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0
1254	ASTEN	767	57448400	514090850	5	16	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1
1255	ASTEN	836	57466578	514090872	11	25	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
1256	ASTEN	737	57448518	514119630	5	10	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1
1264	ASTEN	745	57440615	514099931	6	13	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
1267	ASTEN	834	57448400	514090850	8	24	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0
1268	ASTEN	786	57465406	514056517	5	9	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0
1269	ASTEN	780	57474172	514116147	13	30	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0
1272	ASTEN	828	57439208	514029431	10	5	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1
1273	ASTEN	721	57474064	514041910	11	8	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1
1278	ASTEN	754	57451727	514039973	8	24	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0
1280	ASTEN	781	57474172	514116147	11	18	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1
1303	SOMEREN-EIND	1052	57109518	513440815	10	12	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1
1312	ASTEN	725	57451727	514039973	10	11	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0
1324	MIERLO	643	56219321	514462867	10	24	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0
1331	ASTEN	816	58458540	513683397	7	17	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0
1332	ASTEN	730	57458650	514020256	11	18	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
1334	ASTEN	765	57448400	514090850	5	7	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0
1335	ASTEN	693	57459717	513975723	5	11	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0
1336	HEUSDEN GEM ASTEN	804	57658798	513750479	11	9	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1
1337	OMMEL	684	57497265	514268549	9	8	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0
1374	MAARHEEZE	235	56232476	513144027	8	23	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0
1378	SOMEREN	1007	57326840	513557668	7	11	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1
1407	BUDEL	314	55725911	512740040	5	20	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0
1506	ASTEN	722	57467206	514051779	11	8	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0
1517	MIERLO	612	56159735	514434084	12	33	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
1518	HEUSDEN GEM ASTEN	702	57788430	513396126	13	12	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0
1522	SOMEREN	992	57341489	513644811	7	11	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0
1526	AARLE RIXTEL	162	56386799	515099598	10	6	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	1
1566	LIESHOUT	11	55901474	515186912	5	14	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0
1583	MIERLO	621	56260424	514500538	9	21	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0
1584	SOMEREN	1062	57551160	513428244	8	25	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1
1585	MAARHEEZE	226	56110856	513134501	12	30	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0
1590	ASTEN	678	57628802	514020382	11	21	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1
1594	MAARHEEZE	293	56371939	513033628	7	6	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1
1599	HEUSDEN GEM ASTEN	796	58001579	513715585	12	6	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1
1601	SOERENDONK	191	55603403	512922293	6	23	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1
